Remaining jobs: [feature_framework_startup_failures.py, p2p_ibd_txrelay.py, p2p_permissions.py, p2p_seednode.py]
Remaining jobs: [feature_framework_startup_failures.py, p2p_ibd_txrelay.py, p2p_seednode.py]
Remaining jobs: [feature_framework_startup_failures.py, p2p_seednode.py]
Remaining jobs: [feature_framework_startup_failures.py]

TEST                                                   | STATUS    | DURATION

example_test.py                                        | ✓ Passed  | 2 s
feature_abortnode.py                                   | ✓ Passed  | 3 s
feature_addrman.py                                     | ✓ Passed  | 9 s
feature_anchors.py                                     | ✓ Passed  | 7 s
feature_asmap.py                                       | ✓ Passed  | 16 s
feature_assumeutxo.py                                  | ✓ Passed  | 58 s
feature_assumevalid.py                                 | ✓ Passed  | 22 s
feature_bind_extra.py                                  | ✓ Passed  | 6 s
feature_bip68_sequence.py                              | ✓ Passed  | 35 s
feature_block.py                                       | ✓ Passed  | 287 s
feature_blocksdir.py                                   | ✓ Passed  | 2 s
feature_blocksxor.py                                   | ✓ Passed  | 4 s
feature_chain_tiebreaks.py                             | ✓ Passed  | 4 s
feature_cltv.py                                        | ✓ Passed  | 3 s
feature_coinstatsindex.py                              | ✓ Passed  | 18 s
feature_config_args.py                                 | ✓ Passed  | 56 s
feature_csv_activation.py                              | ✓ Passed  | 27 s
feature_dersig.py                                      | ✓ Passed  | 3 s
feature_dirsymlinks.py                                 | ✓ Passed  | 1 s
feature_discover.py                                    | ✓ Passed  | 5 s
feature_fastprune.py                                   | ✓ Passed  | 2 s
feature_fee_estimation.py                              | ✓ Passed  | 163 s
feature_filelock.py                                    | ✓ Passed  | 2 s
feature_framework_miniwallet.py                        | ✓ Passed  | 18 s
feature_framework_startup_failures.py                  | ✓ Passed  | 9 s
feature_framework_testshell.py                         | ✓ Passed  | 2 s
feature_framework_unit_tests.py                        | ✓ Passed  | 23 s
feature_help.py                                        | ✓ Passed  | 0 s
feature_includeconf.py                                 | ✓ Passed  | 8 s
feature_init.py                                        | ✓ Passed  | 64 s
feature_loadblock.py                                   | ✓ Passed  | 6 s
feature_logging.py                                     | ✓ Passed  | 12 s
feature_maxtipage.py                                   | ✓ Passed  | 20 s
feature_maxuploadtarget.py                             | ✓ Passed  | 79 s
feature_minchainwork.py                                | ✓ Passed  | 13 s
feature_notifications.py                               | ✓ Passed  | 14 s
feature_nulldummy.py                                   | ✓ Passed  | 1 s
feature_port.py                                        | ✓ Passed  | 5 s
feature_posix_fs_permissions.py                        | ✓ Passed  | 1 s
feature_presegwit_node_upgrade.py                      | ✓ Passed  | 4 s
feature_proxy.py                                       | ✓ Passed  | 16 s
feature_rbf.py                                         | ✓ Passed  | 18 s
feature_reindex.py                                     | ✓ Passed  | 16 s
feature_reindex_init.py                                | ✓ Passed  | 5 s
feature_reindex_readonly.py                            | ✓ Passed  | 6 s
feature_remove_pruned_files_on_startup.py              | ✓ Passed  | 9 s
feature_segwit.py --v1transport                        | ✓ Passed  | 8 s
feature_segwit.py --v2transport                        | ✓ Passed  | 11 s
feature_settings.py                                    | ✓ Passed  | 9 s
feature_shutdown.py                                    | ✓ Passed  | 2 s
feature_signet.py                                      | ✓ Passed  | 11 s
feature_startupnotify.py                               | ✓ Passed  | 5 s
feature_taproot.py                                     | ✓ Passed  | 396 s
feature_uacomment.py                                   | ✓ Passed  | 7 s
feature_utxo_set_hash.py                               | ✓ Passed  | 4 s
feature_versionbits_warning.py                         | ✓ Passed  | 4 s
interface_bitcoin_cli.py                               | ✓ Passed  | 17 s
interface_http.py                                      | ✓ Passed  | 10 s
interface_rest.py                                      | ✓ Passed  | 11 s
interface_rpc.py                                       | ✓ Passed  | 2 s
mempool_accept.py                                      | ✓ Passed  | 16 s
mempool_accept_wtxid.py                                | ✓ Passed  | 20 s
mempool_cluster.py                                     | ✓ Passed  | 41 s
mempool_datacarrier.py                                 | ✓ Passed  | 3 s
mempool_dust.py                                        | ✓ Passed  | 12 s
mempool_ephemeral_dust.py                              | ✓ Passed  | 90 s
mempool_expiry.py                                      | ✓ Passed  | 3 s
mempool_limit.py                                       | ✓ Passed  | 27 s
mempool_package_limits.py                              | ✓ Passed  | 3 s
mempool_package_rbf.py                                 | ✓ Passed  | 29 s
mempool_packages.py                                    | ✓ Passed  | 9 s
mempool_persist.py                                     | ✓ Passed  | 39 s
mempool_reorg.py                                       | ✓ Passed  | 13 s
mempool_resurrect.py                                   | ✓ Passed  | 2 s
mempool_sigoplimit.py                                  | ✓ Passed  | 14 s
mempool_spend_coinbase.py                              | ✓ Passed  | 2 s
mempool_truc.py                                        | ✓ Passed  | 23 s
mempool_unbroadcast.py                                 | ✓ Passed  | 14 s
mempool_updatefromblock.py                             | ✓ Passed  | 93 s
mining_basic.py                                        | ✓ Passed  | 89 s
mining_getblocktemplate_longpoll.py                    | ✓ Passed  | 83 s
mining_mainnet.py                                      | ✓ Passed  | 21 s
mining_prioritisetransaction.py                        | ✓ Passed  | 7 s
mining_template_verification.py                        | ✓ Passed  | 2 s
p2p_1p1c_network.py                                    | ✓ Passed  | 15 s
p2p_add_connections.py                                 | ✓ Passed  | 10 s
p2p_addr_relay.py                                      | ✓ Passed  | 24 s
p2p_addr_selfannouncement.py                           | ✓ Passed  | 4 s
p2p_addrfetch.py                                       | ✓ Passed  | 1 s
p2p_addrv2_relay.py                                    | ✓ Passed  | 2 s
p2p_block_sync.py --v1transport                        | ✓ Passed  | 6 s
p2p_block_sync.py --v2transport                        | ✓ Passed  | 3 s
p2p_blockfilters.py                                    | ✓ Passed  | 17 s
p2p_blocksonly.py                                      | ✓ Passed  | 7 s
p2p_compactblocks.py                                   | ✓ Passed  | 11 s
p2p_compactblocks_blocksonly.py                        | ✓ Passed  | 3 s
p2p_compactblocks_hb.py --v1transport                  | ✓ Passed  | 17 s
p2p_compactblocks_hb.py --v2transport                  | ✓ Passed  | 16 s
p2p_disconnect_ban.py --v1transport                    | ✓ Passed  | 5 s
p2p_disconnect_ban.py --v2transport                    | ✓ Passed  | 4 s
p2p_dns_seeds.py                                       | ✓ Passed  | 39 s
p2p_eviction.py                                        | ✓ Passed  | 5 s
p2p_feefilter.py                                       | ✓ Passed  | 8 s
p2p_filter.py                                          | ✓ Passed  | 7 s
p2p_fingerprint.py                                     | ✓ Passed  | 2 s
p2p_getaddr_caching.py                                 | ✓ Passed  | 14 s
p2p_getdata.py                                         | ✓ Passed  | 1 s
p2p_handshake.py                                       | ✓ Passed  | 4 s
p2p_handshake.py --v2transport                         | ✓ Passed  | 5 s
p2p_headers_sync_with_minchainwork.py                  | ✓ Passed  | 43 s
p2p_i2p_ports.py                                       | ✓ Passed  | 4 s
p2p_i2p_sessions.py                                    | ✓ Passed  | 2 s
p2p_ibd_stalling.py --v1transport                      | ✓ Passed  | 9 s
p2p_ibd_stalling.py --v2transport                      | ✓ Passed  | 20 s
p2p_ibd_txrelay.py                                     | ✓ Passed  | 3 s
p2p_initial_headers_sync.py                            | ✓ Passed  | 5 s
p2p_invalid_block.py --v1transport                     | ✓ Passed  | 3 s
p2p_invalid_block.py --v2transport                     | ✓ Passed  | 3 s
p2p_invalid_locator.py                                 | ✓ Passed  | 3 s
p2p_invalid_messages.py                                | ✓ Passed  | 49 s
p2p_invalid_tx.py --v1transport                        | ✓ Passed  | 4 s
p2p_invalid_tx.py --v2transport                        | ✓ Passed  | 5 s
p2p_leak.py                                            | ✓ Passed  | 7 s
p2p_leak_tx.py --v1transport                           | ✓ Passed  | 5 s
p2p_leak_tx.py --v2transport                           | ✓ Passed  | 2 s
p2p_message_capture.py                                 | ✓ Passed  | 2 s
p2p_mutated_blocks.py                                  | ✓ Passed  | 8 s
p2p_net_deadlock.py --v1transport                      | ✓ Passed  | 6 s
p2p_net_deadlock.py --v2transport                      | ✓ Passed  | 7 s
p2p_nobloomfilter_messages.py                          | ✓ Passed  | 2 s
p2p_node_network_limited.py --v1transport              | ✓ Passed  | 17 s
p2p_node_network_limited.py --v2transport              | ✓ Passed  | 31 s
p2p_opportunistic_1p1c.py                              | ✓ Passed  | 122 s
p2p_orphan_handling.py                                 | ✓ Passed  | 45 s
p2p_outbound_eviction.py                               | ✓ Passed  | 8 s
p2p_permissions.py                                     | ✓ Passed  | 30 s
p2p_ping.py                                            | ✓ Passed  | 2 s
p2p_private_broadcast.py                               | ✓ Passed  | 33 s
p2p_seednode.py                                        | ✓ Passed  | 4 s
p2p_segwit.py                                          | ✓ Passed  | 114 s
p2p_sendheaders.py                                     | ✓ Passed  | 36 s
p2p_sendtxrcncl.py                                     | ✓ Passed  | 14 s
p2p_timeouts.py --v1transport                          | ✓ Passed  | 3 s
p2p_timeouts.py --v2transport                          | ✓ Passed  | 3 s
p2p_tx_download.py                                     | ✓ Passed  | 68 s
p2p_tx_privacy.py                                      | ✓ Passed  | 15 s
p2p_unrequested_blocks.py                              | ✓ Passed  | 5 s
p2p_v2_encrypted.py                                    | ✓ Passed  | 10 s
p2p_v2_misbehaving.py                                  | ✓ Passed  | 2 s
p2p_v2_transport.py                                    | ✓ Passed  | 7 s
rpc_bind.py --ipv4                                     | ✓ Passed  | 3 s
rpc_bind.py --ipv6                                     | ✓ Passed  | 7 s
rpc_bind.py --nonloopback                              | ✓ Passed  | 3 s
rpc_blockchain.py --v1transport                        | ✓ Passed  | 41 s
rpc_blockchain.py --v2transport                        | ✓ Passed  | 40 s
rpc_createmultisig.py                                  | ✓ Passed  | 30 s
rpc_decodescript.py                                    | ✓ Passed  | 1 s
rpc_deprecated.py                                      | ✓ Passed  | 1 s
rpc_deriveaddresses.py                                 | ✓ Passed  | 2 s
rpc_deriveaddresses.py --usecli                        | ✓ Passed  | 1 s
rpc_dumptxoutset.py                                    | ✓ Passed  | 1 s
rpc_estimatefee.py                                     | ✓ Passed  | 1 s
rpc_generate.py                                        | ✓ Passed  | 4 s
rpc_getblockfilter.py                                  | ✓ Passed  | 4 s
rpc_getblockfrompeer.py                                | ✓ Passed  | 12 s
rpc_getblockstats.py                                   | ✓ Passed  | 4 s
rpc_getchaintips.py                                    | ✓ Passed  | 7 s
rpc_getdescriptoractivity.py                           | ✓ Passed  | 3 s
rpc_getdescriptorinfo.py                               | ✓ Passed  | 1 s
rpc_gettxspendingprevout.py                            | ✓ Passed  | 4 s
rpc_help.py                                            | ✓ Passed  | 3 s
rpc_invalid_address_message.py                         | ✓ Passed  | 1 s
rpc_invalidateblock.py                                 | ✓ Passed  | 2 s
rpc_misc.py                                            | ✓ Passed  | 9 s
rpc_named_arguments.py                                 | ✓ Passed  | 6 s
rpc_net.py --v1transport                               | ✓ Passed  | 30 s
rpc_net.py --v2transport                               | ✓ Passed  | 31 s
rpc_orphans.py                                         | ✓ Passed  | 3 s
rpc_packages.py                                        | ✓ Passed  | 10 s
rpc_preciousblock.py                                   | ✓ Passed  | 5 s
rpc_psbt.py                                            | ✓ Passed  | 38 s
rpc_rawtransaction.py                                  | ✓ Passed  | 12 s
rpc_scanblocks.py                                      | ✓ Passed  | 2 s
rpc_scantxoutset.py                                    | ✓ Passed  | 17 s
rpc_setban.py --v1transport                            | ✓ Passed  | 7 s
rpc_setban.py --v2transport                            | ✓ Passed  | 6 s
rpc_signer.py                                          | ✓ Passed  | 5 s
rpc_signmessagewithprivkey.py                          | ✓ Passed  | 1 s
rpc_signrawtransactionwithkey.py                       | ✓ Passed  | 2 s
rpc_txoutproof.py                                      | ✓ Passed  | 5 s
rpc_uptime.py                                          | ✓ Passed  | 3 s
rpc_users.py                                           | ✓ Passed  | 22 s
rpc_validateaddress.py                                 | ✓ Passed  | 1 s
rpc_whitelist.py                                       | ✓ Passed  | 4 s
tool_bitcoin.py                                        | ✓ Passed  | 0 s
tool_rpcauth.py                                        | ✓ Passed  | 0 s
tool_signet_miner.py                                   | ✓ Passed  | 54 s
tool_utils.py                                          | ✓ Passed  | 8 s
tool_utxo_to_sqlite.py                                 | ✓ Passed  | 11 s
tool_wallet.py                                         | ✓ Passed  | 33 s
wallet_abandonconflict.py                              | ✓ Passed  | 15 s
wallet_address_types.py                                | ✓ Passed  | 25 s
wallet_anchor.py                                       | ✓ Passed  | 2 s
wallet_assumeutxo.py                                   | ✓ Passed  | 23 s
wallet_avoid_mixing_output_types.py                    | ✓ Passed  | 10 s
wallet_avoidreuse.py                                   | ✓ Passed  | 19 s
wallet_backup.py                                       | ✓ Passed  | 32 s
wallet_balance.py                                      | ✓ Passed  | 34 s
wallet_basic.py                                        | ✓ Passed  | 48 s
wallet_blank.py                                        | ✓ Passed  | 2 s
wallet_bumpfee.py                                      | ✓ Passed  | 51 s
wallet_change_address.py                               | ✓ Passed  | 15 s
wallet_coinbase_category.py                            | ✓ Passed  | 2 s
wallet_conflicts.py                                    | ✓ Passed  | 49 s
wallet_create_tx.py                                    | ✓ Passed  | 5 s
wallet_createwallet.py                                 | ✓ Passed  | 7 s
wallet_createwallet.py --usecli                        | ✓ Passed  | 8 s
wallet_createwalletdescriptor.py                       | ✓ Passed  | 2 s
wallet_crosschain.py                                   | ✓ Passed  | 5 s
wallet_descriptor.py                                   | ✓ Passed  | 9 s
wallet_disable.py                                      | ✓ Passed  | 1 s
wallet_encryption.py                                   | ✓ Passed  | 7 s
wallet_fallbackfee.py                                  | ✓ Passed  | 2 s
wallet_fast_rescan.py                                  | ✓ Passed  | 12 s
wallet_fundrawtransaction.py                           | ✓ Passed  | 64 s
wallet_gethdkeys.py                                    | ✓ Passed  | 2 s
wallet_groups.py                                       | ✓ Passed  | 17 s
wallet_hd.py                                           | ✓ Passed  | 10 s
wallet_importdescriptors.py                            | ✓ Passed  | 49 s
wallet_importprunedfunds.py                            | ✓ Passed  | 7 s
wallet_keypool.py                                      | ✓ Passed  | 4 s
wallet_keypool_topup.py                                | ✓ Passed  | 15 s
wallet_labels.py                                       | ✓ Passed  | 6 s
wallet_listdescriptors.py                              | ✓ Passed  | 4 s
wallet_listreceivedby.py                               | ✓ Passed  | 8 s
wallet_listsinceblock.py                               | ✓ Passed  | 14 s
wallet_listtransactions.py                             | ✓ Passed  | 24 s
wallet_miniscript.py                                   | ✓ Passed  | 61 s
wallet_miniscript_decaying_multisig_descriptor_psbt.py | ✓ Passed  | 6 s
wallet_multisig_descriptor_psbt.py                     | ✓ Passed  | 10 s
wallet_multiwallet.py                                  | ✓ Passed  | 23 s
wallet_multiwallet.py --usecli                         | ✓ Passed  | 25 s
wallet_musig.py                                        | ✓ Passed  | 14 s
wallet_orphanedreward.py                               | ✓ Passed  | 10 s
wallet_reindex.py                                      | ✓ Passed  | 7 s
wallet_reorgsrestore.py                                | ✓ Passed  | 14 s
wallet_rescan_unconfirmed.py                           | ✓ Passed  | 2 s
wallet_resendwallettransactions.py                     | ✓ Passed  | 6 s
wallet_send.py                                         | ✓ Passed  | 20 s
wallet_sendall.py                                      | ✓ Passed  | 9 s
wallet_sendmany.py                                     | ✓ Passed  | 1 s
wallet_signer.py                                       | ✓ Passed  | 18 s
wallet_signmessagewithaddress.py                       | ✓ Passed  | 5 s
wallet_signrawtransactionwithwallet.py                 | ✓ Passed  | 5 s
wallet_simulaterawtx.py                                | ✓ Passed  | 4 s
wallet_spend_unconfirmed.py                            | ✓ Passed  | 5 s
wallet_startup.py                                      | ✓ Passed  | 8 s
wallet_taproot.py                                      | ✓ Passed  | 76 s
wallet_timelock.py                                     | ✓ Passed  | 1 s
wallet_transactiontime_rescan.py                       | ✓ Passed  | 15 s
wallet_txn_clone.py                                    | ✓ Passed  | 4 s
wallet_txn_clone.py --mineblock                        | ✓ Passed  | 6 s
wallet_txn_clone.py --segwit                           | ✓ Passed  | 5 s
wallet_txn_doublespend.py                              | ✓ Passed  | 5 s
wallet_txn_doublespend.py --mineblock                  | ✓ Passed  | 5 s
wallet_v3_txs.py                                       | ✓ Passed  | 21 s
feature_bind_port_discover.py                          | ○ Skipped | 0 s
feature_bind_port_externalip.py                        | ○ Skipped | 0 s
feature_coinstatsindex_compatibility.py                | ○ Skipped | 0 s
feature_unsupported_utxo_db.py                         | ○ Skipped | 0 s
interface_ipc.py                                       | ○ Skipped | 0 s
interface_ipc_mining.py                                | ○ Skipped | 0 s
interface_usdt_coinselection.py                        | ○ Skipped | 0 s
interface_usdt_mempool.py                              | ○ Skipped | 0 s
interface_usdt_net.py                                  | ○ Skipped | 0 s
interface_usdt_utxocache.py                            | ○ Skipped | 0 s
interface_usdt_validation.py                           | ○ Skipped | 0 s
interface_zmq.py                                       | ○ Skipped | 0 s
mempool_compatibility.py                               | ○ Skipped | 0 s
tool_bench_sanity_check.py                             | ○ Skipped | 0 s
tool_bitcoin_chainstate.py                             | ○ Skipped | 0 s
wallet_backwards_compatibility.py                      | ○ Skipped | 0 s
wallet_migration.py                                    | ○ Skipped | 0 s

ALL                                                    | ✓ Passed  | 4728 s (accumulated) 
Runtime: 1219 s

